date,close,volume
2017-12-19,19765,673
2017-12-18,19830,5575
2017-12-15,19720,3386
2017-12-14,19555,6769
2017-12-13,19855,1442
2017-12-12,20135,2307
2017-12-11,19700,5892
2017-12-08,19520,2279
2017-12-07,19325,15604
2017-12-06,19775,1261
2017-12-05,19790,3119
2017-12-04,19960,559
2017-12-01,19865,5407
2017-11-30,19805,21065
2017-11-29,19840,41557
2017-11-28,19880,1899
2017-11-27,20190,23006
2017-11-24,20160,3308
2017-11-23,19955,6844
2017-11-22,19905,8028
2017-11-21,19475,1062
2017-11-20,19580,2896
2017-11-17,19145,807
2017-11-16,19145,428
2017-11-15,19060,6791
2017-11-14,19565,3999
2017-11-13,19625,6933
